# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00165.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.02250025,1e-06
../results/00166.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.02250025,0.00750075
../results/00167.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.02250025,0.015000499999999998
../results/00168.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.02250025,0.02250025
../results/00169.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.02250025,0.03
../results/00170.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.03,1e-06
../results/00171.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.03,0.00750075
../results/00172.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.03,0.015000499999999998
../results/00173.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.03,0.02250025
../results/00174.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.00750075,0.03,0.03
../results/00175.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,1e-06,1e-06
../results/00176.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,1e-06,0.00750075
../results/00177.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,1e-06,0.015000499999999998
../results/00178.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,1e-06,0.02250025
../results/00179.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,1e-06,0.03
../results/00180.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.00750075,1e-06
../results/00181.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.00750075,0.00750075
../results/00182.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.00750075,0.015000499999999998
../results/00183.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.00750075,0.02250025
../results/00184.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.00750075,0.03
../results/00185.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.015000499999999998,1e-06
../results/00186.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.015000499999999998,0.00750075
../results/00187.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.015000499999999998,0.015000499999999998
../results/00188.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.015000499999999998,0.02250025
../results/00189.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.015000499999999998,0.03
../results/00190.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.02250025,1e-06
../results/00191.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.02250025,0.00750075
../results/00192.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.02250025,0.015000499999999998
../results/00193.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.02250025,0.02250025
../results/00194.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.02250025,0.03
../results/00195.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.03,1e-06
../results/00196.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.03,0.00750075
../results/00197.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.03,0.015000499999999998
../results/00198.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.03,0.02250025
../results/00199.DAT,../macros_thermocalc/macro_4.tcm,0.0,0.00750075,0.015000499999999998,0.03,0.03
../results/00200.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,1e-06,1e-06
../results/00201.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,1e-06,0.00750075
../results/00202.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,1e-06,0.015000499999999998
../results/00203.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,1e-06,0.02250025
../results/00204.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,1e-06,0.03
../results/00205.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.00750075,1e-06
../results/00206.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.00750075,0.00750075
../results/00207.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.00750075,0.015000499999999998
../results/00208.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.00750075,0.02250025
../results/00209.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.00750075,0.03
../results/00210.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.015000499999999998,1e-06
../results/00211.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.015000499999999998,0.00750075
../results/00212.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.015000499999999998,0.015000499999999998
../results/00213.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.015000499999999998,0.02250025
../results/00214.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.015000499999999998,0.03
../results/00215.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.02250025,1e-06
../results/00216.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.02250025,0.00750075
../results/00217.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.02250025,0.015000499999999998
../results/00218.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.02250025,0.02250025
../results/00219.DAT,../macros_thermocalc/macro_5.tcm,0.0,0.00750075,0.02250025,0.02250025,0.03
